name, latitude, longitude
Leslie and Via Renzo Dr./Princeton Ave.,43.88992744,-79.39371692
Bayview Ave and John Street,43.81862203,-79.401111
Woodbine Ave and Ravenshoe Road,44.19869598,-79.43967794
Bathurst Street and Clark Ave,43.80353997,-79.448412
Leslie Street and Green Lane,44.08417197,-79.43659996
Bayview Ave and Elgin Mills Road,43.89359898,-79.41979898
Leslie and Mulock,44.0474751,-79.42739126
Davis Drive and The Hospital,44.06135057,-79.45155906
Yonge Street and London Road,44.06603199,-79.48249794
Kennedy Road and Avoca Drive,43.85964576,-79.30267119
Davis Drive and Ashton Road and Carlson Drive,44.06416551,-79.43902823
Jane Street and 407 Station,43.78230009,-79.52157832
Bathurst Street and Major Mackenzie Drive,43.865894,-79.46277999
Weston and Century / Aviva Park,43.77756705,-79.54482598
Leslie St. and Bloomington Rd.,43.97322085,-79.41047578
McCowan Rd. and Bur Oak Ave.,43.89473832,-79.29115368
Ninth Line and 16th Avenue,43.89770801,-79.23956985
Kennedy Road and Helen Avenue,43.85339858,-79.30754182
Yonge Street and Mulock Drive,44.03628703,-79.47603445
Jane and Riverock,43.82761679,-79.53189598
Mount Albert Road and Centre Street,44.13271069,-79.30738978
Teston Road and St. Joan of Arc,43.87175323,-79.5241838
Bathurst Street and Wellington Street,43.99402989,-79.49428558
Bloomington Road and Woodbine Avenue,43.97921584,-79.38645493
Leslie Street and Mount Albert Road South,44.10236158,-79.44123632
Ninth Line and Donald Cousens Road,43.90518063,-79.24082598
Bayview Avenue and Laureleaf Raod,43.81261692,-79.39971296
Dalton Road and Black River Road,44.31015855,-79.36533723
St. Johns Sideroad and Bathurst Street,44.01253255,-79.49840784
Bathurst Street and Mulock Drive,44.03180668,-79.49634078
Keele Street and Teston Road,43.87338105,-79.51655489
Stouffville Road and Warden Avenue,43.9468969,-79.35693519
Jane St. and Interchange Way / Peelar Rd.,43.78946437,-79.5239061
Yonge Street and Meadowview Ave,43.801826,-79.42108105
Highway 9 and Highway 400 NB Offramp,44.02976735,-79.59285927
Weston Rd. and Carlauren Rd./ Chancellor Dr.,43.79851094,-79.54963367
Kennedy Rd. and Stouffville Rd. ,43.95323786,-79.32949668
The Queensway and Glenwoods Avenue,44.21229354,-79.4649924
Yonge Street and Elm Grove Avenue,43.95020528,-79.45599084
Leslie Street and Stouffville Road,43.93637794,-79.4054115
King Road and Dufferin Street,43.93372486,-79.50517152
Woodbine Avenue and 14th Avenue,43.83165948,-79.35336409
Bloomington Road and Bayview Avenue,43.96795844,-79.43532346
Bayview Avenue and 19th Avenue,43.91110241,-79.42418171
Jane Street and Teston Road,43.86845807,-79.54100743
Bloomington Road and Bathurst Street,43.95772572,-79.48546524
Dufferin Street and Rutherford Road,43.84263228,-79.48306994
16th Avenue and Warden Avenue,43.87395498,-79.33868503
Leslie Street and Elgin Mills Road,43.89854067,-79.39581885
Queensville Sideroad and Woodbine Avenue,44.14408165,-79.42596051
Major Mackenzie Drive and McCowan Road,43.90357876,-79.29323609
Yonge Street and Jefferson Commercial Entrance,43.91153076,-79.44669042
Davis Drive and Southlake RHC,44.06085414,-79.45354746
Leslie St and Commerce Valley Dr,43.83942624,-79.38098141
Woodbine Avenue and Elgin Mills Road,43.90270394,-79.37799883
Bayview Avenue and Holy Trinity School ,43.90584497,-79.42287577
Dufferin Street and Clark Avenue,43.79720664,-79.47253179
Highway 7 and Bathurst St. Connection Ramp ,43.82988409,-79.45102316
Woodbine Ave. and Dovedale Dr.,44.22103392,-79.4454967
Highway 48 and Pefferlaw Rd.,44.33001291,-79.21975002
Yonge Street and Bloomington Road,43.96324496,-79.45908294
Kennedy and Bloomington,43.9903246,-79.33703544
Mount Albert and 2nd Concession,44.10037595,-79.4661785
Highway 27 and Lloydtown/Aurora,43.99272049,-79.67423256
Wellington and Bayview,44.00503504,-79.44388704
Woodbine and Rodick/Hillmount,43.8767718,-79.36493234
Leslie St and Headford ave,43.86938442,-79.38849582
Leslie St and St Johns Sdrd,44.0290632,-79.42278718
Yonge St and John St,43.81425558,-79.42402352
Leslie St and East/West Wilmot,43.85272491,-79.38444088
Major Mackenzie and Leslie,43.88048119,-79.39154772
Jane and Bagg,43.81969672,-79.53001232
Jane and MacIntosh,43.80321517,-79.52642318
Highway 27 at Martin Grove,43.8002205,-79.62838467
Yonge at Morning Sdrd.,44.08247275,-79.48772877
Elgin Mills at McCowan,43.92158852,-79.29738665
Dufferin Street and  Viceroy Road ,43.78888218,-79.47043846
Keele at King-Vaughan ,43.91072271,-79.52324278
Jane at King-Vaughan ,43.904893,-79.5496838
Jane at King ,43.92278702,-79.554034
Woodbine at Mount Albert ,44.10770962,-79.41676309
Mulock at Sandford ,44.03781443,-79.46907815
Wellington at Industrial Pkwy,44.00204039,-79.45679393
Pine Valley at Galcat ,43.77039752,-79.56959027
Rutherford at Creditstone ,43.83345969,-79.52206107
McCowan at Denison ,43.84150364,-79.27796108
 Wellington at Mavrinac ,44.00745811,-79.43331462
Mullock at College Manor East,44.04514856,-79.43785084
Ninth Line at Elgin Mills ,43.93317686,-79.24845038
Highway 48 at Ravenshoe,44.22131423,-79.33692458
Dufferin at 15th Sdrd,43.95217627,-79.50921913
Keele and Davis West ,44.03789209,-79.55643622
Stouffville at McCowan ,43.95881115,-79.30350605
 Davis at HWY 48 ,44.09341996,-79.31003222
Leslie at Gorham ,44.05682655,-79.42965462
Dufferin at Teston ,43.87931131,-79.49180804
Bathurst at Green Lane ,44.06737029,-79.51078878
Davis Drive West and Dufferin Street,44.04344467,-79.53054575
Leslie Street at St. Roberts HS,43.83366589,-79.37955807
Major Mackenzie Drive at Highway 27,43.82463014,-79.63124461
Bayview Avenue & St. John's Sideroad,44.02361412,-79.4479576
Bathurst Street and Queensville Sideroad West,44.12221141,-79.52458973
Highway 27 & 17th Sideroad,43.95758623,-79.66609015
Woodbine Avenue & Metro Road,44.30168388,-79.46591341
Woodbine Avenue & Baseline Road Ramp,44.28103323,-79.46031255
Yonge St and St Johns Sdrd,44.01799238,-79.4719226
Davis Drive and Bathurst Street,44.04917104,-79.50580136
Highway 11 and Bathurst St,44.10499568,-79.5188904
Highway 48 and Park Rd,44.30680171,-79.32042391
Highway 27 and Highway 9,44.01103314,-79.67856589
King Rd and Keele St,43.92869775,-79.52821492
Bayview Avenue and Mulock Drive,44.04123724,-79.4519567
Green Lane and 2nd Concession,44.0783094,-79.46038207
Yonge Street and King Road,43.94459647,-79.45467811
Bathurst at Atkinson,43.81724982,-79.45158862
Bathurst at Flamingo,43.82235846,-79.45282224
