OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
954,08-22,Woodbine Avenue,Vandorf Sideroad,Aurora Road,8,Active,8,22,CE,CE,CE,2,Regional Road,08-20,08-24,4,York Region,2065.84260781959
955,31-39,Davis Drive,Highway 48,Centre Street,31,Active,31,39,CE,CE,CE,2,Regional Road,31-38,31-40,2,York Region,1037.49132923427
956,01-03,Yonge Street,Centre Street / Thornhill Summit Drive,Highway 407,1,Active,1,3,SE,SE,SE,1,Regional Road,01-02,01-04,6,York Region,2020.93224776454
957,12-42,Leslie Street,Boag Road,Ravenshoe Road / The Queensway South,12,Active,12,42,NO,NO,NO,2,Regional Road,12-40,12-44,2,York Region,2044.31886984207
958,01-14S,Yonge Street Southbound,Stouffville Road,19th Avenue / Gamble Road,1,Active,1,14,SE,SE,SE,2,Regional Road,01-16,01-12S,2,York Region,2077.82747365908
959,53-05,Dufferin Street,Highway 7,Langstaff Road,53,Active,53,5,SW,SW,SW,2,Regional Road,53-04,53-06,6,York Region,359.05086363255
960,01-08M,Yonge Street Rapidway,16th Avenue / Carrville Road,Major Mackenzie Drive East / Major Mackenzie Drive West,1,Active,1,8,SE,SE,SE,1,Rapidway,01-06M,01-12M,2,York Region,2050.6636493502
961,40-29,Bloomington Road,Leslie Street,Highway 404,40,Active,40,29,CE,CE,CE,2,Regional Road,40-28,40-30,4,York Region,1497.04005410608
962,16-16,Lloydtown/Aurora Road,Highway 400,Jane Street / Kettleby Road,16,Active,16,16,CE,CE,CE,3,Regional Road,16-15,16-18,2,York Region,1098.51234691703
963,03-52,Kennedy Road,Lockie Sideroad,Baseline Road,3,Active,3,52,NO,NO,NO,3,Regional Road,03-50,03-54,2,York Region,1218.62814659176
964,31-25E,Davis Drive Eastbound,Davis Drive West / Yonge Street,Main Street North / Main Street South,31,Active,31,25,CE,CE,CE,2,Regional Road,31-24,31-26,2,York Region,1632.73513788428
965,01-34,Highway 11,Morning Sideroad / Yonge Street,Bathurst Street,1,Active,1,34,CE,CE,CE,2,Regional Road,01-32,01-36,4,York Region,3635.65120011101
966,69-06,Ninth Line,Highway 7,16th Avenue,69,Active,69,6,SE,SE,SE,2,Regional Road,69-04,69-08,4,York Region,2129.72477674805
967,14-32,Stouffville Road,Woodbine Avenue,Warden Avenue,14,Active,14,32,SE,SE,SE,2,Regional Road,14-30,14-34,4,York Region,1866.12266260188
968,48-02,Donald Cousens Parkway,Ninth Line,Box Grove Bypass / Box Grove Collector Road,48,Active,48,2,SE,SE,SE,2,Regional Road,69-02,48-05,4,York Region,1209.65709765553
969,31-30,Davis Drive,Highway 404,Woodbine Avenue,31,Active,31,30,CE,CE,CE,1,Regional Road,31-29,31-32,4,York Region,1083.79379378143
970,14-91,Stouffville Road - Woodbine Road Ramp,Stouffville Road,Woodbine Avenue,14,Active,14,91,SE,SE,SE,2,Channelized Right Turn Lane,Start,End,1,York Region,348.212636349392
971,68-90,Highway 48 - Park Road Interchange,Highway 48,Park Road,68,Active,68,90,NO,NO,NO,3,Channelized Right Turn Lane,Start,End,1,York Region,452.180650124679
972,07-15M,Highway 7 Rapidway,Weston Road,Highway 400,7,Active,7,15,SW,SW,SW,1,Rapidway,07-14M,07-16M,2,Metrolinx,685.65166658486
973,03-18,Kennedy Road,Bethesda Sideroad,Bloomington Road,3,Active,3,18,SE,SE,SE,3,Regional Road,03-16,03-20,2,York Region,2073.03373925325
974,67-14,McCowan Road,19th Avenue,Stouffville Road,67,Active,67,14,SE,SE,SE,3,Regional Road,67-12,67-16,2,York Region,2176.05440247598
975,03-40,Kennedy Road,Holborn Road,Boag Road,3,Active,3,40,NO,NO,NO,3,Regional Road,03-38,03-42,2,York Region,2039.84989354994
976,07-29W,Highway 7 Westbound,Leslie Street,Highway 404,7,Active,7,29,SE,SE,SE,1,Regional Road,07-28W,07-30W,3,York Region,986.823267817504
977,67-08,McCowan Road,16th Avenue,Major Mackenzie Drive East,67,Active,67,8,SE,SE,SE,2,Regional Road,67-06,67-10,5,York Region,2067.53833574996
978,95-28,Steeles Avenue East,Bayview Avenue,Don Mills Road,95,Active,95,28,,,SE,0,Regional Road,95-26,95-29,6,Toronto,2991.00348813046
979,01-24,Yonge Street,Yonge Street Aurora Jurisdiction,St Johns Sideroad,1,Active,1,24,CE,CE,CE,2,Regional Road,01-20,01-26,5,York Region,821.668085056139
980,31-25M,Davis Drive Rapidway,Davis Drive West / Yonge Street,Main Street North / Main Street South,31,Active,31,25,CE,CE,CE,1,Rapidway,31-24,31-26,4,Metrolinx,1605.27089009168
981,65-20,Warden Avenue,Bloomington Road,Vandorf Sideroad,65,Active,65,20,CE,CE,CE,3,Regional Road,65-18,65-22,2,York Region,2134.31987060186
982,13-26,Mount Albert Road,Queen Street / Yonge Street,2nd Concession Road,13,Active,13,26,NO,NO,NO,3,Regional Road,13-24,13-28,2,York Region,1994.36581057757
983,01-20,Yonge Street,Bloomington Road,Yonge Street Aurora Jurisdiction,1,Active,1,20,CE,SE,CE,2,Regional Road,01-18,01-24,5,York Region,2199.94560388293
984,15-24,Wellington Street West,Bathurst Street,Wellington Street East / Yonge Street,15,Active,15,24,CE,CE,CE,2,Regional Road,15-22,15-26,5,York Region,2231.59797254562
985,09-91,Highway 48 - High Street Ramp,Highway 48,High Street,9,Active,9,91,NO,NO,NO,3,Channelized Right Turn Lane,Start,End,1,York Region,193.23397800879
986,34-08,Bayview Avenue,16th Avenue,Major Mackenzie Drive East,34,Active,34,8,SE,SE,SE,2,Regional Road,34-06,34-10,5,York Region,2057.93674416707
987,25-36,Major Mackenzie Drive East,Kennedy Road,McCowan Road,25,Active,25,36,SE,SE,SE,2,Regional Road,25-34,25-38,5,York Region,2162.54260851576
988,07-16E,Highway 7 Eastbound,Highway 400,Jane Street,7,Active,7,16,SW,SW,SW,1,Regional Road,07-15,07-18E,3,York Region,1277.67584879225
989,16-15,Lloydtown/Aurora Road,Weston Road,Highway 400,16,Active,16,15,CE,CE,CE,3,Regional Road,16-14,16-16,3,York Region,988.33996104905
990,13-39,Mount Albert Road,Highway 48,Centre Street,13,Active,13,39,NO,NO,NO,3,Regional Road,13-38,13-40,2,York Region,1147.42263560327
991,95-34,Steeles Avenue East,Warden Avenue,Kennedy Road,95,Active,95,34,,,SE,0,Regional Road,95-32,95-36,6,Toronto,1469.62279457885
992,08-97,Union Street - Woodbine Avenue Ramp,Union Street,Woodbine Avenue,8,Active,8,97,SE,SE,SE,2,Channelized Right Turn Lane,Start,End,2,York Region,29.0011836063634
993,25-15,Major Mackenzie Drive West,Weston Road,Highway 400,25,Active,25,15,SW,SW,SW,2,Regional Road,25-14,25-16,6,York Region,995.882672083553
994,77-26,Queensville Sideroad,Queensville Sideroad West / Yonge Street,2nd Concession Road,77,Active,77,26,NO,NO,NO,3,Regional Road,77-24,77-28,2,York Region,1978.92145725814
995,03-14,Kennedy Road,19th Avenue,Stouffville Road,3,Active,3,14,SE,SE,SE,3,Regional Road,03-12,03-16,2,York Region,2198.76550348928
996,06-24,Keele Street,17th Sideroad,Lloydtown/Aurora Road,6,Active,6,24,CE,CE,CE,3,Regional Road,06-22,06-26,2,York Region,2219.21771845532
997,56-18,Weston Road,King Road,15th Sideroad,56,Active,56,18,CE,CE,CE,3,Regional Road,56-16,56-20,2,York Region,2078.58466929932
998,73-44,16th Avenue,Reesor Road,York/Durham Line,73,Active,73,44,SE,SE,SE,2,Regional Road,73-43,End,2,York Region,1822.87807329647
999,11-16,King Road,Highway 400,Jane Street,11,Active,11,16,SW,SW,SW,2,Regional Road,11-15,11-18,4,York Region,1002.036748066
1000,65-36,Warden Avenue,Doane Road,Queensville Sideroad,65,Active,65,36,NO,NO,NO,3,Regional Road,65-34,65-38,2,York Region,2068.16633472797
1001,31-38,Davis Drive,McCowan Road,Highway 48,31,Active,31,38,CE,CE,CE,2,Regional Road,31-36,31-39,2,York Region,2063.01185329286
1002,08-02,Woodbine Avenue,Denison Street,Esna Park Drive / John Street,8,Active,8,2,SE,SE,SE,2,Regional Road,08-01,08-03,8,York Region,361.514845942439
1003,74-26,Mulock Drive,Yonge Street,Bayview Avenue,74,Active,74,26,CE,CE,CE,2,Regional Road,74-24,74-28,6,York Region,2010.57259869031
1004,08-96,Woodbine Avenue - Baseline Road Ramp ,Woodbine Avenue,Woodbine Avenue - Baseline Road Ramp,8,Active,8,96,NO,NO,NO,2,Channelized Right Turn Lane,Start,End,1,York Region,52.5017881510401
1005,06-28,Keele Street,19th Sideroad,Davis Drive West,6,Active,6,28,CE,CE,CE,4,Regional Road,06-26,END,2,York Region,2044.86226245101
1006,45-30,Doane Road,Highway 404,Woodbine Avenue,45,Active,45,30,NO,NO,NO,4,Regional Road,45-29,End,2,York Region,760.662150758961
1007,25-34,Major Mackenzie Drive East,Warden Avenue,Kennedy Road,25,Active,25,34,SE,SE,SE,2,Regional Road,25-32,25-36,4,York Region,2051.81368873561
1008,38-04N,Bathurst Street Northbound,Highway 407,Richmond Hill-Vaughan Border,38,Active,38,4,SW,SW,SW,1,Regional Road,38-03N,38-06N,3,York Region,217.12313990652
1009,40-22,15th Sideroad,Dufferin Street,Bathurst Street / Bloomington Road,40,Active,40,22,CE,CE,CE,3,Regional Road,40-20,40-24,2,York Region,1989.31754794007
1010,67-30,McCowan Road,Davis Drive,Herald Road,67,Active,67,30,NO,NO,NO,4,Regional Road,67-18,67-32,2,York Region,2027.45026869542
1011,73-11,Rutherford Road,Clarence Street,Islington Avenue,73,Active,73,11,SW,SW,SW,2,Regional Road,73-10,73-12,6,York Region,483.391864079201
1012,95-12,Steeles Avenue West,Islington Avenue,Pine Valley Drive,95,Active,95,12,,,SW,0,Regional Road,95-11,95-14,6,Toronto,846.955935252125
1013,73-16,Rutherford Road,Highway 400,Jane Street,73,Active,73,16,SW,SW,SW,1,Regional Road,73-15,73-18,7,York Region,1136.99802455989
1014,49-31,Elgin Mills Road East,Woodbine Avenue,Victoria Square Boulevard,49,Active,49,30,SE,SE,SE,2,Regional Road,49-29,End,4,York Region,525.829847086939
1015,78-60,Metro Road North,Kennedy Road,Salvation Army Road,78,Active,78,60,NO,NO,NO,3,Regional Road,78-58,78-62,2,York Region,2008.63689332655
1016,12-32,Leslie Street,Green Lane East,Farr Avenue / Mount Albert Road,12,Active,12,32,NO,NO,NO,2,Regional Road,12-30,12-34,2,York Region,2462.97551273568
1017,71-38,14th Avenue,McCowan Road,Markham Road,71,Active,71,38,SE,SE,SE,2,Regional Road,71-36,71-40,5,York Region,2105.16419992201
1018,13-29,Mount Albert Road,Leslie Street,Highway 404,13,Active,13,29,NO,NO,NO,3,Regional Road,13-28,13-30,2,York Region,1686.35951373882
1019,79-29,Old Homestead Road,Metro Road North,The Queensway North,79,Active,79,29,NO,NO,NO,3,Regional Road,Start,79-30,2,York Region,1344.42372448532
1020,01-02,Yonge Street,Steeles Avenue East / Steeles Avenue West,Centre Street / Thornhill Summit Drive,1,Active,1,2,SE,SE,SE,1,Regional Road,Start,01-03,7,York Region,2064.17174825103
1021,95-24,Steeles Avenue West,Bathurst Street,Yonge Street,95,Active,95,24,,,SW,0,Regional Road,95-22,95-26,4,Toronto,2157.1007491192
1022,03-01,Kennedy Road,Steeles Avenue East,Denison Street,3,Active,3,1,SE,SE,SE,2,Regional Road,Start,03-02,5,York Region,1255.62622650946
1023,18-54,Park Road,Highway 404 Extension,Highway 48,18,Active,18,54,NO,NO,NO,3,Regional Road,18-52,18-56,2,York Region,738.259942022483
1024,74-29,Mulock Drive,Leslie Street,Vivian Road,74,Active,74,29,CE,CE,CE,2,Regional Road,74-28,74-30,5,York Region,904.82147165466
1025,07-32M,Highway 7 Rapidway,Woodbine Avenue,Warden Avenue,,Active,7,32,SE,SE,SE,1,Rapidway,07-30M,End,2,Metrolinx,2048.78115219545
1026,26-30,St Johns Sideroad,Highway 404,Woodbine Avenue,26,Active,26,30,CE,CE,CE,4,Regional Road,26-29,End,2,York Region,933.330477934618
1027,07-30M,Highway 7 Rapidway,Highway 404,Woodbine Avenue,,Active,7,30,SE,SE,SE,1,Rapidway,07-29M,07-32M,2,Metrolinx,1085.28722993517
1028,21-52,Pefferlaw Road,Lake Ridge Road,Morning Glory Road,21,Active,21,52,NO,NO,NO,4,Regional Road,Start,21-53,2,York Region,3105.91827348258
1029,27-94,Highway 9 - Highway 27 Ramp,Highway 9,Highway 27,27,Active,27,94,CE,CE,CE,2,Channelized Right Turn Lane,Start,End,1,York Region,376.17044785003
1030,51-34,Yonge Street,Bradford Street / Thompson Drive,Doane Road / Doane Road West,51,Active,51,34,NO,NO,NO,4,Regional Road,51-33,51-36,2,York Region,990.705734319846
1031,08-52,Woodbine Avenue,Boyers Sideroad,Deer Park Road,8,Active,8,52,NO,NO,NO,2,Regional Road,08-50,08-54,2,York Region,1033.77992963333
1032,01-28N,Yonge Street Northbound,Eagle Street / Eagle Street West,Davis Drive / Davis Drive West,1,Active,1,28,CE,CE,CE,2,Regional Road,01-27N,01-30,2,York Region,1077.41527066685
1033,03-03,Kennedy Road,14th Avenue,Highway 407,3,Active,3,3,SE,SE,SE,2,Regional Road,03-02,03-04,5,York Region,788.850972508654
1034,13-40,Mount Albert Road,Centre Street,Ninth Line,13,Active,13,40,NO,NO,NO,3,Regional Road,13-39,13-42,2,York Region,1062.3857692369
1035,15-42,Aurora Road,Ninth Line,York/Durham Line,15,Active,15,42,CE,CE,CE,3,Regional Road,15-40,End,2,York Region,1646.16805876628
1036,48-08,Donald Cousens Parkway,16th Avenue,Ninth Line,48,Active,48,8,SE,SE,SE,3,Regional Road,48-06,48-09,4,York Region,1951.55433588759
1037,11-10,King Road,Highway 27,8th Concession,11,Active,11,10,SW,SW,SW,2,Regional Road,11-08,11-12,2,York Region,2033.60936092276
1038,07-12E,Highway 7 Eastbound,Islington Avenue,Pine Valley Drive,7,Active,7,12,SW,SW,SW,1,Regional Road,07-11,07-14E,3,York Region,1377.47072312629
1039,25-38,Major Mackenzie Drive East,McCowan Road,Highway 48,25,Active,25,38,SE,SE,SE,2,Regional Road,25-36,25-40,2,York Region,2137.18301249186
1040,32-36,Ravenshoe Road,Kennedy Road,McCowan Road,32,Active,32,36,NO,NO,NO,2,Regional Road,32-34,32-38,2,York Region,2042.20482035002
1041,73-15,Rutherford Road,Weston Road,Highway 400,73,Active,73,15,SW,SW,SW,1,Regional Road,73-14,73-16,7,York Region,831.988369946658
1042,73-10,Rutherford Road,Highway 27,Clarence Street,73,Active,73,10,SW,SW,SW,2,Regional Road,73-08,73-11,6,York Region,1961.77085212104
1043,07-12M,Highway 7 Rapidway,Islington Avenue,Pine Valley Drive,7,Active,7,12,SW,SW,SW,1,Rapidway,07-11,07-14,2,Metrolinx,1362.56209011557
1044,15-38,Aurora Road,McCowan Road,Highway 48,15,Active,15,38,CE,CE,CE,3,Regional Road,15-36,15-40,2,York Region,1966.37077533852
1045,55-26,Jane Street,Kettleby Road / Lloydtown/Aurora Road,19th Sideroad,55,Active,55,26,CE,CE,CE,3,Regional Road,55-25,55-28,2,York Region,1000.15828732762
1046,30-16,York/Durham Line,Main Street,Bethesda Sideroad,30,Active,30,16,SE,SE,SE,3,Regional Road,30-14,30-18,2,York Region,2064.55995932081
1047,08-32,Woodbine Avenue,Green Lane East / Herald Road,Mount Albert Road,8,Active,8,32,NO,NO,NO,2,Regional Road,08-30,08-34,4,York Region,2077.68791742523
1048,14-34,Stouffville Road,Warden Avenue,Kennedy Road,14,Active,14,34,SE,SE,SE,2,Regional Road,14-32,14-36,2,York Region,2314.21187824853
1049,30-10,York/Durham Line,Major Mackenzie Drive East,Elgin Mills Road East,30,Active,30,10,SE,SE,SE,2,Regional Road,30-08,30-12,2,York Region,2005.51786577492
1050,56-14,Weston Road,Kirby Road,King Vaughan Road,56,Active,56,14,SW,SW,SW,3,Regional Road,56-12,56-16,2,York Region,2062.08796516367
1051,51-36,Yonge Street,Doane Road / Doane Road West,Queensville Sideroad,51,Active,51,36,NO,NO,NO,4,Regional Road,51-34,End,2,York Region,2047.17844594102
1052,17-90,Islington Avenue - Rutherford Road Ramp,Islington Avenue,Rutherford Road,17,Active,17,90,SW,SW,SW,2,Channelized Right Turn Lane,17-06,73-12,1,York Region,173.552473833208
1053,32-31,Ravenshoe Road,Woodbine Avenue,Highway 404 Extension,32,Active,32,31,NO,NO,NO,2,Regional Road,32-30,32-32,2,York Region,357.658262607598
1054,51-33,Yonge Street,Mount Albert Road / Queen Street,Bradford Street / Thompson Drive,51,Active,51,33,NO,NO,NO,3,Regional Road,51-32,51-34,2,York Region,668.007678280462
1055,31-28M,Davis Drive Rapidway,Lundys Lane / Prospect Street,Leslie Street,31,Active,31,28,CE,CE,CE,1,Rapidway,31-26,31-29,0,Metrolinx,1876.39704733608
1056,79-40,Old Homestead Road,Valley View Drive,Highway 48,79,Active,79,40,NO,NO,NO,3,Regional Road,79-38,79-44,2,York Region,770.467792222066
1057,08-01,Woodbine Avenue,Steeles Avenue East,Denison Street,8,Active,8,1,SE,SE,SE,2,Regional Road,Start,08-02,8,York Region,919.41210678725
1058,27-93,Highway 27 - Highway 9 Ramp,Highway 27,Highway 9,27,Active,27,93,CE,CE,CE,2,Channelized Right Turn Lane,Start,End,1,York Region,458.130194212644
1059,71-41,14th Avenue,Ninth Line,Box Grove Bypass,71,Active,71,41,SE,SE,SE,3,Regional Road,71-40,71-42,2,York Region,482.450659520975
1060,83-33,Holland Landing Road,Old Yonge Street / Yonge Street,Bradford Street,83,Active,83,33,NO,NO,NO,3,Regional Road,Start,83-34,2,York Region,1186.93793468775
1061,73-07,Rutherford Road,Huntington Road,Highway 427,73,Active,73,7,SW,SW,SW,2,Regional Road,73-06,73-08,4,York Region,816.564768918426
1062,71-22W,Centre Street Westbound,Bathurst Street,Dufferin Street,71,Active,71,22,SW,SW,SW,1,Regional Road,Start,End,2,York Region,2097.02947384309
1063,25-44,Major Mackenzie Drive East,Reesor Road,York/Durham Line,25,Active,25,44,SE,SE,SE,2,Regional Road,25-42,End,2,York Region,1505.89282605528
1064,21-53,Pefferlaw Road,Morning Glory Road,Highway 404 Extension,21,Active,21,53,NO,NO,NO,4,Regional Road,21-52,21-54,2,York Region,1374.82913663743
1065,01-30,Yonge Street,Davis Drive / Davis Drive West,Green Lane East / Green Lane West,1,Active,1,30,CE,CE,CE,2,Regional Road,01-28,01-32,6,York Region,2037.49566777455
1066,25-92,Major Mackenzie Drive West,Huntington Road,Highway 27,25,Active,25,92,SW,SW,SW,2,Regional Road,25-06,End,2,York Region,1122.60965376747
1067,07-94,Highway 7 - Highway 27 Ramp,Highway 7,Highway 27,7,Active,7,94,SW,SW,SW,1,Channelized Right Turn Lane,Start,End,1,York Region,675.449088222952
1068,24-06,Highway 50,Langstaff Road,Rutherford Road,24,Active,24,6,,,SW,,Regional Road,,,4,Part Owner,2184.43543473654
1069,38-08,Bathurst Street,Carrville Road / Rutherford Road,Major Mackenzie Drive West,38,Active,38,8,SW,SW,SW,2,Regional Road,38-06,38-10,6,York Region,2049.52727569467
1070,27-08,Highway 27,Major Mackenzie Drive West,Humber Bridge Trail,27,Active,27,8,SW,SW,SW,2,Regional Road,27-07,27-09,3,York Region,551.703301830332
1071,55-28,Jane Street,19th Sideroad,Davis Drive West,55,Active,55,28,CE,CE,CE,3,Regional Road,55-26,End,2,York Region,2028.58414589
1072,08-20,Woodbine Avenue,Bloomington Road,Vandorf Sideroad,8,Active,8,20,CE,CE,CE,2,Regional Road,08-18,08-22,2,York Region,2086.80180591566
1073,08-91,Woodbine Avenue - Baseline Road Ramp,Woodbine Avenue,Baseline Road,8,Active,8,91,NO,NO,NO,2,Regional Road,Start,End,2,York Region,536.353750041552
1074,08-24,Woodbine Avenue,Aurora Road,St Johns Sideroad,8,Active,8,24,CE,CE,CE,2,Regional Road,08-22,08-26,4,York Region,2057.52621312182
1075,06-01,Keele Street,Steeles Avenue West,Highway 407,6,Active,6,1,SW,SW,SW,2,Regional Road,Start,06-02,5,York Region,1233.79188591054
1076,13-28,Mount Albert Road,2nd Concession Road,Farr Avenue / Leslie Street,13,Active,13,28,NO,NO,NO,3,Regional Road,13-26,13-29,2,York Region,2023.90366774863
1077,31-32,Davis Drive,Woodbine Avenue,Warden Avenue,31,Active,31,32,CE,CE,CE,1,Regional Road,31-30,31-34,4,York Region,2053.50646350524
1078,34-20,Bayview Avenue,Bloomington Road,Vandorf Sideroad,34,Active,34,20,CE,CE,CE,2,Regional Road,34-18,34-22,3,York Region,2097.19765890133
1079,03-36,Kennedy Road,Doane Road,Queensville Sideroad,3,Active,3,36,NO,NO,NO,3,Regional Road,03-34,03-38,2,York Region,2059.02695833519
1080,69-91,Box Grove Bypass,14th Avenue,Copper Creek Drive,69,Active,69,91,SE,SE,SE,2,Regional Road,69-90,69-03,4,York Region,667.19732021659
1081,45-26,Doane Road,Doane Road West / Yonge Street,2nd Concession Road,45,Active,45,26,NO,NO,NO,4,Regional Road,Start,45-28,2,York Region,1859.74115173026
1082,79-54,Old Homestead Road,Weirs Sideroad,Station Road,79,Active,79,54,NO,NO,NO,3,Regional Road,79-52,End,2,York Region,1572.14868031182
1083,38-04M,Bathurst Street Rapidway,Highway 407,Richmond Hill-Vaughan Border,38,Active,38,4,SW,SW,SW,1,Rapidway,38-03M,38-06M,1,Metrolinx,201.366376657919
1084,17-01,Islington Avenue,Steeles Avenue West,Highway 407,17,Active,17,1,SW,SW,SW,2,Regional Road,Start,17-02,5,York Region,760.389733453495
1085,74-40,Vivian Road,Highway 48,Ninth Line,74,Active,74,40,CE,CE,CE,3,Regional Road,74-38,74-42,2,York Region,2106.27563048911
1086,11-24,King Road,Bathurst Street,Yonge Street,11,Active,11,24,SW,SW,SW,2,Regional Road,11-22,End,4,York Region,2237.90805109579
1087,79-34,Old Homestead Road,Warden Avenue,Kennedy Road,79,Active,79,34,NO,NO,NO,3,Regional Road,79-32,79-35,2,York Region,2008.65786917729
1088,57-02,Pine Valley Drive,Highway 407,Highway 7,57,Active,57,2,SW,SW,SW,2,Regional Road,57-01,57-04,5,York Region,1148.99332518557
1089,68-04,Markham Road,Highway 407,Exit 92 / James Scott Road / Main Street Markham  / Princess Street,68,Active,68,4,SE,SE,SE,2,Regional Road,68-03,End,4,York Region,336.814736041052
1090,03-30,Kennedy Road,Davis Drive,Unopened Road Allowance,3,Active,3,30,CE,CE,CE,4,Regional Road,03-28,03-32,2,York Region,518.124957880043
1091,53-18,Dufferin Street,King Road,15th Sideroad,53,Active,53,18,CE,CE,CE,2,Regional Road,53-16,53-20,2,York Region,2050.3832074577
1092,08-26,Woodbine Avenue,St Johns Sideroad,Vivian Road,8,Active,8,26,CE,CE,CE,2,Regional Road,08-24,08-28,2,York Region,2077.17293144315
1093,45-28,Doane Road,2nd Concession Road,Jeffery Crescent / Leslie Street,45,Active,45,28,NO,NO,NO,4,Regional Road,45-26,45-29,2,York Region,2126.04660732431
1094,03-48,Kennedy Road,Highway 404 Extension,Old Homestead Road,3,Active,3,48,NO,NO,NO,3,Regional Road,03-47,03-50,2,York Region,806.236754232926
1095,73-06,Rutherford Road,Highway 50,Huntington Road,73,Active,73,6,SW,SW,SW,2,Regional Road,Start,73-08,2,York Region,1143.53280259023
1096,74-38,Vivian Road,McCowan Road,Highway 48,74,Active,74,38,CE,CE,CE,3,Regional Road,74-36,74-40,2,York Region,2014.17640752769
1097,12-28,Leslie Street,Gorham Street,Davis Drive,12,Active,12,28,CE,CE,CE,2,Regional Road,12-27,12-30,5,York Region,1009.46834821055
1098,67-34,McCowan Road,Mount Albert Road,Doane Road,67,Active,67,34,NO,NO,NO,4,Regional Road,67-32,67-36,2,York Region,2038.97392689583
1099,14-29,Stouffville Road,Leslie Street,Highway 404,14,Active,14,29,SE,SE,SE,2,Regional Road,14-28,14-30,4,York Region,1091.69975166564
1100,16-18,Lloydtown/Aurora Road,18th Sideroad / Jane Street,Keele Street,16,Active,16,18,CE,CE,CE,3,Regional Road,16-16,16-20,2,York Region,2241.36110368339
1101,67-42,McCowan Road,Boag Road,Ravenshoe Road,67,Active,67,42,NO,NO,NO,3,Regional Road,67-40,End,2,York Region,2055.90910878595
1102,38-32,Bathurst Street,Green Lane West / Millers Sideroad,Morning Sideroad,38,Active,38,32,NO,CE,NO,3,Regional Road,38-30,38-34,2,York Region,1222.83551757796
1103,32-48,Ravenshoe Road,Park Road,Concession 5,32,Active,32,48,NO,NO,NO,3,Regional Road,32-44,32-52,2,York Region,4576.57710038794
1104,38-30,Bathurst Street,Davis Drive West,Green Lane West / Millers Sideroad,38,Active,38,30,NO,CE,NO,2,Regional Road,38-28,38-32,4,York Region,2063.48230631225
1105,95-44,Steeles Avenue East,Ressor Road,11th Concession,95,Active,95,44,,,SE,0,Regional Road,95-42,95-46,2,Toronto,1840.25485015366
1106,95-32,Steeles Avenue East,Woodbine Avenue,Warden Avenue,95,Active,95,32,,,SE,0,Regional Road,95-30,95-34,6,Toronto,2038.32724831249
1107,07-42,Highway 7,Donald Cousens Parkway,Highway 7 MTO Jurisdiction,7,Active,7,42,SE,SE,SE,2,Regional Road,07-41,End,5,York Region,185.139692785418
1108,03-26,Kennedy Road,St Johns Sideroad,Vivian Road,3,Active,3,26,CE,CE,CE,3,Regional Road,03-24,03-28,2,York Region,2067.97108628319
1109,32-38,Ravenshoe Road,McCowan Road,Highway 48,32,Active,32,38,NO,NO,NO,2,Regional Road,32-36,32-40,2,York Region,2402.60776141528
1110,07-06,Highway 7,Highway 50,Huntington Road,7,Active,7,6,SW,SW,SW,1,Regional Road,Start,07-07,8,York Region,156.274936657226
1111,11-14,King Road,7th Concession,Weston Road,11,Active,11,14,SW,SW,SW,2,Regional Road,11-12,11-15,2,York Region,2122.85781399062
1112,11-22,King Road,Dufferin Street,Bathurst Street,11,Active,11,22,SW,SW,SW,2,Regional Road,11-20,11-24,4,York Region,1973.02298743353
1113,73-36,16th Avenue,Kennedy Road,McCowan Road,73,Active,73,36,SE,SE,SE,2,Regional Road,73-34,73-38,5,York Region,2137.71441875097
1114,25-40,Major Mackenzie Drive East,Highway 48,Donald Cousens Parkway,25,Active,25,40,SE,SE,SE,2,Regional Road,25-38,25-41,4,York Region,868.74918536247
1115,12-30,Leslie Street,Davis Drive,Green Lane East,12,Active,12,30,NO,CE,NO,2,Regional Road,12-28,12-32,5,York Region,2076.87835891353
1116,14-36,Stouffville Road,Kennedy Road,McCowan Road,14,Active,14,36,SE,SE,SE,2,Regional Road,14-34,14-38,2,York Region,2173.32434078179
1117,34-24,Bayview Avenue,Wellington Street East,St Johns Sideroad,34,Active,34,24,CE,CE,CE,2,Regional Road,34-22,34-26,4,York Region,2084.38153876909
1118,01-06N,Yonge Street Northbound,Highway 7,16th Avenue / Carrville Road,1,Active,1,6,SE,SE,SE,2,Regional Road,01-04,01-08N,2,York Region,1999.51281207483
1119,34-90,Royal Orchard Boulevard,Bayview Avenue,Royal Orchard Boulevard,,Active,34,90,SE,SE,SE,2,Regional Road,34-03,34-03,2,York Region,739.114993268747
1120,15-91,Aurora Road - Woodbine Avenue Ramp,Aurora Road,Woodbine Avenue,15,Active,15,91,CE,CE,CE,2,Channelized Right Turn Lane,Start,End,1,York Region,147.181152848097
1121,01-26N,Yonge Street Northbound,St Johns Sideroad,Mulock Drive,1,Active,1,26,CE,CE,CE,2,Regional Road,01-24,01-27N,2,York Region,2075.30319603269
