OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
1445,40-42,Bloomington Road,Ninth Line,York/Durham Line,40,Active,40,42,CE,CE,CE,2,Regional Road,40-40,End,2,York Region,2280.38812668561
1446,03-46,Kennedy Road,Glenwoods Avenue,Pollock Road,3,Active,3,46,NO,NO,NO,3,Regional Road,03-44,03-47,2,York Region,2035.82199364596
1447,12-10,Leslie Street,Major Mackenzie Drive East,Elgin Mills Road East,12,Active,12,10,SE,SE,SE,2,Regional Road,12-08,12-12,5,York Region,2036.75662803357
1448,07-16W,Highway 7 Westbound,Jane Street,Highway 400,7,Active,7,16,SW,SW,SW,1,Regional Road,07-15,07-18W,3,York Region,1275.24149374434
1449,25-30,Major Mackenzie Drive East,Highway 404,Woodbine Avenue,25,Active,25,30,SE,SE,SE,2,Regional Road,25-29,25-32,5,York Region,1052.59660103515
1450,69-03,Ninth Line,Copper Creek Drive,Highway 407,69,Active,69,3,SE,SE,SE,2,Regional Road,69-91,69-04,4,York Region,692.926495480676
1451,34-16,Bayview Avenue,Stouffville Road,Bethesda Sideroad,34,Active,34,16,CE,CE,CE,2,Regional Road,34-14,34-18,2,York Region,2191.22485791903
1452,25-28,Major Mackenzie Drive East,Bayview Avenue,Leslie Street,25,Active,25,28,SE,SE,SE,2,Regional Road,25-26,25-29,5,York Region,1998.95891777065
1453,01-08N,Yonge Street Northbound,16th Avenue / Carrville Road,Major Mackenzie Drive East / Major Mackenzie Drive West,1,Active,1,8,SE,SE,SE,2,Regional Road,01-06N,01-12N,2,York Region,2128.01408807172
1454,38-28,Bathurst Street,Mulock Drive,Davis Drive West,38,Active,38,28,CE,CE,CE,2,Regional Road,38-26,38-30,4,York Region,2140.21421965495
1455,57-04,Pine Valley Drive,Highway 7,Langstaff Road,57,Active,57,4,SW,SW,SW,2,Regional Road,57-02,57-08,4,York Region,2070.99533041791
1456,24-04,Highway 50,Highway 7,Langstaff Road,24,Active,24,4,,,SW,,Regional Road,,,4,Part Owner,2139.69908815462
